id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
96250309,https://www.idealista.com/inmueble/96250309/,sale,inactive,0-EU-ES-14-03-001-021-04-002,37.8898566,-4.7586064,True,Córdoba,Córdoba,Levante - Lepanto - Fátima,La Viñuela,130164468,94000,flat,,85,,,3,1,False,False,external,False,False,False,inProcess,,good,False,False,,,,,,,,,,,True,,,Planta 3ª,
96250799,https://www.idealista.com/inmueble/96250799/,sale,inactive,0-EU-ES-14-03-001-021-01-002,37.8877805,-4.7812546,False,Córdoba,Córdoba,Centro - Casco Histórico,Centro,,135000,flat,,50,,,3,1,False,False,internal,False,False,False,inProcess,,good,True,False,False,False,,False,,,,,,,,,,Planta 5ª,True
96251539,https://www.idealista.com/inmueble/96251539/,sale,inactive,0-EU-ES-14-03-001-021-04-001,37.9006952,-4.7623273,True,Córdoba,Córdoba,Levante - Lepanto - Fátima,Fátima - Campiñuela,260404640,1100000,countryHouse,countryHouse,1000,900,,20,6,False,False,,False,False,False,exempt,,good,False,False,True,True,,,,,,1995,,,,,,Bajo,
96251547,https://www.idealista.com/inmueble/96251547/,sale,inactive,0-EU-ES-14-03-001-021-04-005,37.9452522,-4.6867649,True,Córdoba,Córdoba,Levante - Lepanto - Fátima,Alcolea,260404640,687120,countryHouse,countryHouse,1700,1500,,22,9,False,False,,False,False,False,unknown,,renew,False,False,True,True,,,,,,1960,,,,,,Bajo,
96252390,https://www.idealista.com/inmueble/96252390/,sale,inactive,0-EU-ES-14-03-001-021-01-001,37.8782964,-4.777971,True,Córdoba,Córdoba,Centro - Casco Histórico,Judería - San Basilio,260404640,2200000,chalet,independantHouse,922,800,547,18,10,False,False,,False,False,False,unknown,,renew,False,False,False,False,,True,,no,,,,,True,,,,
96254733,https://www.idealista.com/inmueble/96254733/,sale,inactive,0-EU-ES-14-03-001-021-03-001,37.8995305,-4.781839,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Santa Rosa - San José,260401660,63000,flat,,59,55,,3,0,False,False,external,False,False,False,b,1,renew,False,False,False,False,,False,,no,,,,,,,,Planta 1ª,True
96254747,https://www.idealista.com/inmueble/96254747/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8846417,-4.7934246,True,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,260401660,135000,flat,,125,104,,3,2,False,False,external,False,False,False,a,1,renew,True,False,False,False,,False,100,no,,,,,True,,,Planta 6ª,True
96254750,https://www.idealista.com/inmueble/96254750/,sale,inactive,0-EU-ES-14-03-001-021-01-003,37.8819965,-4.7690345,False,Córdoba,Córdoba,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,260401660,129000,chalet,independantHouse,236,200,0,5,3,False,False,,False,False,False,a,,renew,False,False,False,,,,,,,,,,,,,,
96254756,https://www.idealista.com/inmueble/96254756/,sale,inactive,0-EU-ES-14-03-001-021-01-005,37.8941317,-4.7769837,True,Córdoba,Córdoba,Centro - Casco Histórico,San Cayetano,260401660,169000,flat,,85,75,,2,2,False,False,external,False,False,False,a,1,good,True,False,False,False,,False,,individual,Eléctrica,,,,,True,,Planta 1ª,True
96256216,https://www.idealista.com/inmueble/96256216/,sale,inactive,0-EU-ES-14-03-001-021-08-001,37.9293407,-4.9066371,True,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Trassierra - Las Jaras,130029651,244800,flat,,115,,,3,2,False,False,external,False,False,False,inProcess,,good,True,False,,True,,True,,,,,,,,,,Planta 2ª,True
96257843,https://www.idealista.com/inmueble/96257843/,sale,inactive,0-EU-ES-14-03-001-021-01-003,37.8837241,-4.7708609,True,Córdoba,Córdoba,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,130003250,295000,chalet,independantHouse,178,142,,4,3,False,False,,False,False,False,unknown,,good,False,False,True,False,,False,,individual,,,,,True,,,,True
