id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
111373324,https://www.idealista.com/inmueble/111373324/,sale,Córdoba,Córdoba,37.8655802,-4.7781776,True,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,50.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
111980048,https://www.idealista.com/inmueble/111980048/,sale,Córdoba,Córdoba,37.8650607,-4.7765257,False,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,58.0,,,2,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,4,
109849783,https://www.idealista.com/inmueble/109849783/,sale,Córdoba,Córdoba,37.8966485,-4.775939,True,,,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,,,,terracedHouse,135.0,,,2,1,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
111570361,https://www.idealista.com/inmueble/111570361/,sale,Córdoba,Córdoba,37.8963559,-4.7984533,True,,,Noreña - Figueroa,Tablero,,,,flat,120.0,,,3,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,4,
112047078,https://www.idealista.com/inmueble/112047078/,sale,Córdoba,Córdoba,37.8937662,-4.7764116,True,,,Santa Rosa - Valdeolleros,Santa Rosa - San José,,,,flat,89.0,,,2,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,,
112008995,https://www.idealista.com/inmueble/112008995/,sale,Córdoba,Córdoba,37.9087639,-4.7795318,True,,,Brillante - Trassierra - Naranjo,Naranjo - Mirabueno,,,,terracedHouse,145.0,,,5,1,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
111691979,https://www.idealista.com/inmueble/111691979/,sale,Córdoba,Córdoba,37.8945636,-4.7938401,True,,,Noreña - Figueroa,Tablero,,,,flat,100.0,,,2,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,,
111523491,https://www.idealista.com/inmueble/111523491/,sale,Córdoba,Córdoba,37.8764961,-4.7835484,True,,,Centro - Casco Histórico,Judería - San Basilio,,,,flat,55.0,,,2,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
111210961,https://www.idealista.com/inmueble/111210961/,sale,Córdoba,Córdoba,37.880103,-4.7685554,True,,,Fuensanta - Zona Arcángel,Fuensanta - Arcángel - Santuario,,,,flat,97.0,,,3,2,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,2,
112211211,https://www.idealista.com/inmueble/112211211/,sale,Córdoba,Córdoba,37.8846067,-4.794644,True,,,Ciudad Jardín,Ciudad Jardín,,,,flat,78.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,2,
